順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
12,2745.426,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0658-00,ゲッコウガ,,みず,あく,一般,,ゲッコウガナイト
13,2741.632,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし
14,2740.460,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0450-00,カバルドン,,じめん,,一般,,たべのこし,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,オボンのみ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,のろいのおふだ
16,2732.426,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ようせいのハネ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,カゴのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ
17,2731.427,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,りゅうのキバ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト
18,2728.222,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ
19,2726.806,0450-00,カバルドン,,じめん,,一般,,たべのこし,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0637-00,ウルガモス,,むし,ほのお,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ
20,2726.246,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0197-00,ブラッキー,,あく,,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト
21,2719.194,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0733-00,ドデカバシ,,ノーマル,ひこう,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0395-00,エンペルト,,みず,はがね,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,ラムのみ
22,2718.223,0362-00,オニゴーリ,,こおり,,一般,,たべのこし,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0071-00,ウツボット,,くさ,どく,一般,,ウツボットナイト,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,でんきだま,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,,きあいのタスキ
23,2717.286,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0130-00,ギャラドス,,みず,ひこう,一般,,オボンのみ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト
24,2715.044,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ
25,2714.236,0009-00,カメックス,,みず,,一般,,カメックスナイト,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ,0212-00,ハッサム,,むし,はがね,一般,,メタルコート,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0038-01,キュウコン,アローラのすがた,こおり,フェアリー,一般,,とけないこおり,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ
26,2709.716,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0959-00,デカヌチャン,,フェアリー,はがね,一般,,シュカのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0571-01,ゾロアーク,ヒスイのすがた,ノーマル,ゴースト,一般,,きあいのタスキ,0855-00,ポットデス,がんさくフォルム,ゴースト,,一般,,しろいハーブ
28,2709.451,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0658-00,ゲッコウガ,,みず,あく,一般,,きあいのタスキ
29,2708.065,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
30,2707.749,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0637-00,ウルガモス,,むし,ほのお,一般,,きあいのタスキ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ピントレンズ,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト
31,2706.309,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ
32,2706.273,0279-00,ペリッパー,,みず,ひこう,一般,,オボンのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,こだわりスカーフ,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ
33,2706.058,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,ひかりのこな,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0197-00,ブラッキー,,あく,,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト
34,2705.633,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0248-00,バンギラス,,いわ,あく,一般,,シュカのみ,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト
35,2704.547,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,くろいメガネ
36,2704.303,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,きあいのタスキ
37,2704.286,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ
38,2703.634,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0655-00,マフォクシー,,ほのお,エスパー,一般,,マフォクシナイト
39,2703.485,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,のろいのおふだ,0132-00,メタモン,,ノーマル,,一般,,きあいのタスキ,0009-00,カメックス,,みず,,一般,,カメックスナイト
41,2702.152,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ
42,2701.740,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく
43,2701.489,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0635-00,サザンドラ,,あく,ドラゴン,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,シュカのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ
45,2700.777,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,きあいのタスキ
46,2700.258,0036-00,ピクシー,,フェアリー,,一般,,ピクシナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,,0823-00,アーマーガア,,ひこう,はがね,一般,,,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,,0983-00,ドドゲザン,,あく,はがね,一般,,
47,2698.181,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0503-01,ダイケンキ,ヒスイのすがた,みず,あく,一般,,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0199-01,ヤドキング,ガラルのすがた,どく,エスパー,一般,,シュカのみ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
48,2694.135,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,しんぴのしずく,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし
49,2692.186,0358-00,チリーン,,エスパー,,一般,,チリーンナイト,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,たべのこし
50,2691.602,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,するどいくちばし,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし
51,2691.124,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0530-00,ドリュウズ,,じめん,はがね,一般,,やわらかいすな,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0154-00,メガニウム,,くさ,,一般,,メガニウムナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ピントレンズ,0937-00,ソウブレイズ,,ほのお,ゴースト,一般,,こだわりスカーフ
54,2686.398,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0450-00,カバルドン,,じめん,,一般,,たべのこし,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,カゴのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
55,2686.322,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0130-00,ギャラドス,,みず,ひこう,一般,,ギャラドスナイト,0637-00,ウルガモス,,むし,ほのお,一般,,ラムのみ
56,2685.939,0282-00,サーナイト,,エスパー,フェアリー,一般,,サーナイトナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,シュカのみ,0450-00,カバルドン,,じめん,,一般,,たべのこし,0130-00,ギャラドス,,みず,ひこう,一般,,オボンのみ,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト
58,2685.007,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0970-00,キラフロル,,いわ,どく,一般,,キラフロルナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,たべのこし,0130-00,ギャラドス,,みず,ひこう,一般,,カゴのみ
59,2683.549,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0730-00,アシレーヌ,,みず,フェアリー,一般,,カゴのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0823-00,アーマーガア,,ひこう,はがね,一般,,オボンのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
62,2682.080,0752-00,オニシズクモ,,みず,むし,一般,,オボンのみ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,こだわりスカーフ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
63,2681.471,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0197-00,ブラッキー,,あく,,一般,,たべのこし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0212-00,ハッサム,,むし,はがね,一般,,ハッサムナイト,0479-02,ロトム,ウォッシュロトム,でんき,みず,一般,,こだわりスカーフ
64,2680.852,0196-00,エーフィ,,エスパー,,一般,,まがったスプーン,0197-00,ブラッキー,,あく,,一般,,たべのこし,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0009-00,カメックス,,みず,,一般,,オボンのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ
65,2680.488,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0227-00,エアームド,,はがね,ひこう,一般,,エアームドナイト,0939-00,ハラバリー,,でんき,,一般,,たべのこし,0908-00,マスカーニャ,,くさ,あく,一般,,きあいのタスキ,0970-00,キラフロル,,いわ,どく,一般,,こだわりスカーフ
66,2679.691,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,オボンのみ,0730-00,アシレーヌ,,みず,フェアリー,一般,,しんぴのしずく,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト
67,2679.358,0115-00,ガルーラ,,ノーマル,,一般,,ガルーラナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＸ,0778-00,ミミッキュ,ばけたすがた,ゴースト,フェアリー,一般,,ラムのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,しろいハーブ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ
70,2674.328,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト,0823-00,アーマーガア,,ひこう,はがね,一般,,たべのこし,0448-00,ルカリオ,,かくとう,はがね,一般,,ルカリオナイト,0635-00,サザンドラ,,あく,ドラゴン,一般,,こだわりスカーフ,0730-00,アシレーヌ,,みず,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ
71,2672.831,0450-00,カバルドン,,じめん,,一般,,オボンのみ,0127-00,カイロス,,むし,,一般,,カイロスナイト,0009-00,カメックス,,みず,,一般,,カメックスナイト,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0908-00,マスカーニャ,,くさ,あく,一般,,こだわりスカーフ
72,2672.249,0121-00,スターミー,,みず,エスパー,一般,,スターミナイト,0534-00,ローブシン,,かくとう,,一般,,オボンのみ,0637-00,ウルガモス,,むし,ほのお,一般,,ヨロギのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,ピントレンズ,0571-01,ゾロアーク,ヒスイのすがた,ノーマル,ゴースト,一般,,きあいのタスキ
