順位,レート,ポケモンID_1,ポケモン_1,フォルム_1,タイプ1_1,タイプ2_1,カテゴリー_1,テラスタイプ_1,持ち物_1,ポケモンID_2,ポケモン_2,フォルム_2,タイプ1_2,タイプ2_2,カテゴリー_2,テラスタイプ_2,持ち物_2,ポケモンID_3,ポケモン_3,フォルム_3,タイプ1_3,タイプ2_3,カテゴリー_3,テラスタイプ_3,持ち物_3,ポケモンID_4,ポケモン_4,フォルム_4,タイプ1_4,タイプ2_4,カテゴリー_4,テラスタイプ_4,持ち物_4,ポケモンID_5,ポケモン_5,フォルム_5,タイプ1_5,タイプ2_5,カテゴリー_5,テラスタイプ_5,持ち物_5,ポケモンID_6,ポケモン_6,フォルム_6,タイプ1_6,タイプ2_6,カテゴリー_6,テラスタイプ_6,持ち物_6
300,2471.999,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0310-00,ライボルト,,でんき,,一般,,ライボルトナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0983-00,ドドゲザン,,あく,はがね,一般,,きあいのタスキ,0450-00,カバルドン,,じめん,,一般,,たべのこし
353,2435.159,0009-00,カメックス,,みず,,一般,,カメックスナイト,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ
394,2414.159,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,しろいハーブ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0970-00,キラフロル,,いわ,どく,一般,,きあいのタスキ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト
416,2408.406,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0903-00,オオニューラ,,かくとう,どく,一般,,きあいのタスキ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,カシブのみ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,ロゼルのみ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,カイリュナイト
432,2406.380,0003-00,フシギバナ,,くさ,どく,一般,,フシギバナイト,0018-00,ピジョット,,ノーマル,ひこう,一般,,ピジョットナイト,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0149-00,カイリュー,,ドラゴン,ひこう,一般,,りゅうのキバ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ
449,2402.000,0952-00,スコヴィラン,,くさ,ほのお,一般,,スコヴィラナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,しろいハーブ,0970-00,キラフロル,,いわ,どく,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ
523,2474.000,0981-00,リキキリン,,ノーマル,エスパー,一般,,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,,もくたん,0983-00,ドドゲザン,,あく,はがね,一般,,くろいメガネ,0214-00,ヘラクロス,,むし,かくとう,一般,,ヘラクロスナイト,0323-00,バクーダ,,ほのお,じめん,一般,,バクーダナイト,0740-00,ケケンカニ,,かくとう,こおり,一般,,ケケンカニナイト
554,2366.334,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0547-00,エルフーン,,くさ,フェアリー,一般,,オッカのみ
590,,0009-00,カメックス,,みず,,一般,,カメックスナイト,0279-00,ペリッパー,,みず,ひこう,一般,,きあいのタスキ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,オボンのみ,0655-00,マフォクシー,,ほのお,エスパー,一般,,イトケのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,カシブのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし
591,2360.313,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0306-00,ボスゴドラ,,はがね,いわ,一般,,ボスゴドラナイト,0130-00,ギャラドス,,みず,ひこう,一般,,ひかりのこな,0727-00,ガオガエン,,ほのお,あく,一般,,オボンのみ,0887-00,ドラパルト,,ドラゴン,ゴースト,一般,,ナモのみ,1013-00,ヤバソチャ,ボンサクのすがた,くさ,ゴースト,一般,,たべのこし
607,2357.390,0445-00,ガブリアス,,ドラゴン,じめん,一般,,きあいのタスキ,0902-01,イダイトウ,メスのすがた,みず,ゴースト,一般,,ナモのみ,0547-00,エルフーン,,くさ,フェアリー,一般,,たべのこし,0059-01,ウインディ,ヒスイのすがた,ほのお,いわ,一般,,こだわりスカーフ,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ
613,2355.595,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ
690,2337.580,0065-00,フーディン,,エスパー,,一般,,フーディナイト,0936-00,グレンアルマ,,ほのお,エスパー,一般,,きあいのタスキ,0350-00,ミロカロス,,みず,,一般,,たべのこし,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0635-00,サザンドラ,,あく,ドラゴン,一般,,ピントレンズ
731,2331.474,0359-00,アブソル,,あく,,一般,,アブソルナイト,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0663-00,ファイアロー,,ほのお,ひこう,一般,,持ち物なし,0445-00,ガブリアス,,ドラゴン,じめん,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ
775,2326.214,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ
778,2325.738,0186-00,ニョロトノ,,みず,,一般,,オボンのみ,0009-00,カメックス,,みず,,一般,,リンドのみ,1018-00,ブリジュラス,,はがね,ドラゴン,一般,,たべのこし,0666-18,ビビヨン,ファンシーなもよう,むし,ひこう,一般,,きあいのタスキ,0727-00,ガオガエン,,ほのお,あく,一般,,ヨプのみ,0094-00,ゲンガー,,ゴースト,どく,一般,,ゲンガナイト
830,2320.110,0670-05,フラエッテ,えいえんのはな,フェアリー,,一般,,フラエッテナイト,0547-00,エルフーン,,くさ,フェアリー,一般,,オボンのみ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,こだわりスカーフ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ
846,2318.294,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0350-00,ミロカロス,,みず,,一般,,たべのこし,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0903-00,オオニューラ,,かくとう,どく,一般,,しろいハーブ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ
856,2316.946,0006-00,リザードン,,ほのお,ひこう,一般,,リザードナイトＹ,0142-00,プテラ,,いわ,ひこう,一般,,プテラナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,オボンのみ,0983-00,ドドゲザン,,あく,はがね,一般,,ヨプのみ,0681-00,ギルガルド,シールドフォルム,はがね,ゴースト,一般,,ナモのみ
908,2311.781,0428-00,ミミロップ,,ノーマル,,一般,,ミミロップナイト,0700-00,ニンフィア,,フェアリー,,一般,,ようせいのハネ,0445-00,ガブリアス,,ドラゴン,じめん,一般,,しろいハーブ,0902-00,イダイトウ,オスのすがた,みず,ゴースト,一般,,きあいのタスキ,0663-00,ファイアロー,,ほのお,ひこう,一般,,持ち物なし,0635-00,サザンドラ,,あく,ドラゴン,一般,,ヨプのみ
